syscall name,%rax,arg0,arg1,arg2,arg3,arg4,arg5
read,0x00,unsigned int fd,char *,size_t,-,-,-
write,0x01,unsigned int fd,char *,size_t,-,-,-
open,0x02,char *filename,int flags,umode_t mode,-,-,-
close,0x03,unsigned int fd,-,-,-,-,-
stat,0x04,char *filename,struct __old_kernel_stat *statbuf,-,-,-,-
fstat,0x05,unsigned int fd,struct __old_kernel_stat *statbuf,-,-,-,-
lstat,0x06,char *filename,struct __old_kernel_stat *statbuf,-,-,-,-
poll,0x07,struct pollfd *ufds,unsigned int nfds,int timeout,-,-,-
lseek,0x08,unsigned int fd,off_t offset,unsigned int whence,-,-,-
mmap,0x09,?,?,?,?,?,?
mprotect,0x0a,unsigned long start,size_t,unsigned long prot,-,-,-
munmap,0x0b,unsigned long addr,size_t,-,-,-,-
brk,0x0c,unsigned long,-,-,-,-,-
rt_sigaction,0x0d,int,const struct sigaction *,struct sigaction *,size_t,-,-
rt_sigprocmask,0x0e,int how,sigset_t *set,sigset_t *oset,size_t sigsetsize,-,-
rt_sigreturn,0x0f,?,?,?,?,?,?
ioctl,0x10,unsigned int fd,unsigned int cmd,unsigned long arg,-,-,-
pread64,0x11,unsigned int fd,char *,size_t,loff_t pos,-,-
pwrite64,0x12,unsigned int fd,char *,size_t,loff_t pos,-,-
readv,0x13,unsigned long fd,const struct iovec *vec,unsigned long vlen,-,-,-
writev,0x14,unsigned long fd,const struct iovec *vec,unsigned long vlen,-,-,-
access,0x15,char *filename,int mode,-,-,-,-
pipe,0x16,int *fildes,-,-,-,-,-
select,0x17,int n,fd_set *inp,fd_set *outp,fd_set *exp,struct timeval *tvp,-
sched_yield,0x18,-,-,-,-,-,-
mremap,0x19,unsigned long addr,unsigned long old_len,unsigned long new_len,unsigned long flags,unsigned long new_addr,-
msync,0x1a,unsigned long start,size_t,int flags,-,-,-
mincore,0x1b,unsigned long start,size_t,unsigned char * vec,-,-,-
madvise,0x1c,unsigned long start,size_t,int behavior,-,-,-
shmget,0x1d,key_t key,size_t size,int flag,-,-,-
shmat,0x1e,int shmid,char *shmaddr,int shmflg,-,-,-
shmctl,0x1f,int shmid,int cmd,struct shmid_ds *buf,-,-,-
dup,0x20,unsigned int fildes,-,-,-,-,-
dup2,0x21,unsigned int oldfd,unsigned int newfd,-,-,-,-
pause,0x22,-,-,-,-,-,-
nanosleep,0x23,struct __kernel_timespec *rqtp,struct __kernel_timespec *rmtp,-,-,-,-
getitimer,0x24,int which,struct itimerval *value,-,-,-,-
alarm,0x25,unsigned int seconds,-,-,-,-,-
setitimer,0x26,int which,struct itimerval *value,struct itimerval *ovalue,-,-,-
getpid,0x27,-,-,-,-,-,-
sendfile,0x28,int out_fd,int in_fd,off_t *offset,size_t,-,-
socket,0x29,int,int,int,-,-,-
connect,0x2a,int,struct sockaddr *,int,-,-,-
accept,0x2b,int,struct sockaddr *,int *,-,-,-
sendto,0x2c,int,void *,size_t,unsigned,struct sockaddr *,int
recvfrom,0x2d,int,void *,size_t,unsigned,struct sockaddr *,int *
sendmsg,0x2e,int fd,struct user_msghdr *msg,unsigned flags,-,-,-
recvmsg,0x2f,int fd,struct user_msghdr *msg,unsigned flags,-,-,-
shutdown,0x30,int,int,-,-,-,-
bind,0x31,int,struct sockaddr *,int,-,-,-
listen,0x32,int,int,-,-,-,-
getsockname,0x33,int,struct sockaddr *,int *,-,-,-
getpeername,0x34,int,struct sockaddr *,int *,-,-,-
socketpair,0x35,int,int,int,int *,-,-
setsockopt,0x36,int fd,int level,int optname,char *optval,int optlen,-
getsockopt,0x37,int fd,int level,int optname,char *optval,int *optlen,-
clone,0x38,unsigned long,unsigned long,int *,int *,unsigned long,-
fork,0x39,-,-,-,-,-,-
vfork,0x3a,-,-,-,-,-,-
execve,0x3b,char *filename,char *const *argv,char *const *envp,-,-,-
exit,0x3c,int error_code,-,-,-,-,-
wait4,0x3d,pid_t pid,int *stat_addr,int options,struct rusage *ru,-,-
kill,0x3e,pid_t pid,int sig,-,-,-,-
uname,0x3f,struct old_utsname *,-,-,-,-,-
semget,0x40,key_t key,int nsems,int semflg,-,-,-
semop,0x41,int semid,struct sembuf *sops,unsigned nsops,-,-,-
semctl,0x42,int semid,int semnum,int cmd,unsigned long arg,-,-
shmdt,0x43,char *shmaddr,-,-,-,-,-
msgget,0x44,key_t key,int msgflg,-,-,-,-
msgsnd,0x45,int msqid,struct msgbuf *msgp,size_t msgsz,int msgflg,-,-
msgrcv,0x46,int msqid,struct msgbuf *msgp,size_t msgsz,long msgtyp,int msgflg,-
msgctl,0x47,int msqid,int cmd,struct msqid_ds *buf,-,-,-
fcntl,0x48,unsigned int fd,unsigned int cmd,unsigned long arg,-,-,-
flock,0x49,unsigned int fd,unsigned int cmd,-,-,-,-
fsync,0x4a,unsigned int fd,-,-,-,-,-
fdatasync,0x4b,unsigned int fd,-,-,-,-,-
truncate,0x4c,char *path,long length,-,-,-,-
ftruncate,0x4d,unsigned int fd,unsigned long length,-,-,-,-
getdents,0x4e,unsigned int fd,struct linux_dirent *dirent,unsigned int count,-,-,-
getcwd,0x4f,char *,unsigned long size,-,-,-,-
chdir,0x50,char *filename,-,-,-,-,-
fchdir,0x51,unsigned int fd,-,-,-,-,-
rename,0x52,char *oldname,char *newname,-,-,-,-
mkdir,0x53,char *pathname,umode_t mode,-,-,-,-
rmdir,0x54,char *pathname,-,-,-,-,-
creat,0x55,char *pathname,umode_t mode,-,-,-,-
link,0x56,char *oldname,char *newname,-,-,-,-
unlink,0x57,char *pathname,-,-,-,-,-
symlink,0x58,char *old,char *new,-,-,-,-
readlink,0x59,char *path,char *,int bufsiz,-,-,-
chmod,0x5a,char *filename,umode_t mode,-,-,-,-
fchmod,0x5b,unsigned int fd,umode_t mode,-,-,-,-
chown,0x5c,char *filename,uid_t user,gid_t group,-,-,-
fchown,0x5d,unsigned int fd,uid_t user,gid_t group,-,-,-
lchown,0x5e,char *filename,uid_t user,gid_t group,-,-,-
umask,0x5f,int mask,-,-,-,-,-
gettimeofday,0x60,struct timeval *tv,struct timezone *tz,-,-,-,-
getrlimit,0x61,unsigned int resource,struct rlimit *rlim,-,-,-,-
getrusage,0x62,int who,struct rusage *ru,-,-,-,-
sysinfo,0x63,struct sysinfo *info,-,-,-,-,-
times,0x64,struct tms *tbuf,-,-,-,-,-
ptrace,0x65,long request,long pid,unsigned long addr,unsigned long data,-,-
getuid,0x66,-,-,-,-,-,-
syslog,0x67,int type,char *,int len,-,-,-
getgid,0x68,-,-,-,-,-,-
setuid,0x69,uid_t uid,-,-,-,-,-
setgid,0x6a,gid_t gid,-,-,-,-,-
geteuid,0x6b,-,-,-,-,-,-
getegid,0x6c,-,-,-,-,-,-
setpgid,0x6d,pid_t pid,pid_t pgid,-,-,-,-
getppid,0x6e,-,-,-,-,-,-
getpgrp,0x6f,-,-,-,-,-,-
setsid,0x70,-,-,-,-,-,-
setreuid,0x71,uid_t ruid,uid_t euid,-,-,-,-
setregid,0x72,gid_t rgid,gid_t egid,-,-,-,-
getgroups,0x73,int gidsetsize,gid_t *grouplist,-,-,-,-
setgroups,0x74,int gidsetsize,gid_t *grouplist,-,-,-,-
setresuid,0x75,uid_t ruid,uid_t euid,uid_t suid,-,-,-
getresuid,0x76,uid_t *ruid,uid_t *euid,uid_t *suid,-,-,-
setresgid,0x77,gid_t rgid,gid_t egid,gid_t sgid,-,-,-
getresgid,0x78,gid_t *rgid,gid_t *egid,gid_t *sgid,-,-,-
getpgid,0x79,pid_t pid,-,-,-,-,-
setfsuid,0x7a,uid_t uid,-,-,-,-,-
setfsgid,0x7b,gid_t gid,-,-,-,-,-
getsid,0x7c,pid_t pid,-,-,-,-,-
capget,0x7d,cap_user_header_t header,cap_user_data_t dataptr,-,-,-,-
capset,0x7e,cap_user_header_t header,const cap_user_data_t data,-,-,-,-
rt_sigpending,0x7f,sigset_t *set,size_t sigsetsize,-,-,-,-
rt_sigtimedwait,0x80,const sigset_t *uthese,siginfo_t *uinfo,const struct __kernel_timespec *uts,size_t sigsetsize,-,-
rt_sigqueueinfo,0x81,pid_t pid,int sig,siginfo_t *uinfo,-,-,-
rt_sigsuspend,0x82,sigset_t *unewset,size_t sigsetsize,-,-,-,-
sigaltstack,0x83,const struct sigaltstack *uss,struct sigaltstack *uoss,-,-,-,-
utime,0x84,char *filename,struct utimbuf *times,-,-,-,-
mknod,0x85,char *filename,umode_t mode,unsigned dev,-,-,-
uselib,0x86,char *library,-,-,-,-,-
personality,0x87,unsigned int personality,-,-,-,-,-
ustat,0x88,unsigned dev,struct ustat *ubuf,-,-,-,-
statfs,0x89,char * path,struct statfs *buf,-,-,-,-
fstatfs,0x8a,unsigned int fd,struct statfs *buf,-,-,-,-
sysfs,0x8b,int option,unsigned long arg1,unsigned long arg2,-,-,-
getpriority,0x8c,int which,int who,-,-,-,-
setpriority,0x8d,int which,int who,int niceval,-,-,-
sched_setparam,0x8e,pid_t pid,struct sched_param *param,-,-,-,-
sched_getparam,0x8f,pid_t pid,struct sched_param *param,-,-,-,-
sched_setscheduler,0x90,pid_t pid,int policy,struct sched_param *param,-,-,-
sched_getscheduler,0x91,pid_t pid,-,-,-,-,-
sched_get_priority_max,0x92,int policy,-,-,-,-,-
sched_get_priority_min,0x93,int policy,-,-,-,-,-
sched_rr_get_interval,0x94,pid_t pid,struct __kernel_timespec *interval,-,-,-,-
mlock,0x95,unsigned long start,size_t,-,-,-,-
munlock,0x96,unsigned long start,size_t,-,-,-,-
mlockall,0x97,int flags,-,-,-,-,-
munlockall,0x98,-,-,-,-,-,-
vhangup,0x99,-,-,-,-,-,-
modify_ldt,0x9a,?,?,?,?,?,?
pivot_root,0x9b,char *new_root,char *put_old,-,-,-,-
_sysctl,0x9c,?,?,?,?,?,?
prctl,0x9d,int option,unsigned long arg2,unsigned long arg3,unsigned long arg4,unsigned long arg5,-
arch_prctl,0x9e,?,?,?,?,?,?
adjtimex,0x9f,struct __kernel_timex *txc_p,-,-,-,-,-
setrlimit,0xa0,unsigned int resource,struct rlimit *rlim,-,-,-,-
chroot,0xa1,char *filename,-,-,-,-,-
sync,0xa2,-,-,-,-,-,-
acct,0xa3,char *name,-,-,-,-,-
settimeofday,0xa4,struct timeval *tv,struct timezone *tz,-,-,-,-
mount,0xa5,char *dev_name,char *dir_name,char *type,unsigned long flags,void *data,-
umount2,0xa6,?,?,?,?,?,?
swapon,0xa7,char *specialfile,int swap_flags,-,-,-,-
swapoff,0xa8,char *specialfile,-,-,-,-,-
reboot,0xa9,int magic1,int magic2,unsigned int cmd,void *arg,-,-
sethostname,0xaa,char *name,int len,-,-,-,-
setdomainname,0xab,char *name,int len,-,-,-,-
iopl,0xac,?,?,?,?,?,?
ioperm,0xad,unsigned long from,unsigned long num,int on,-,-,-
create_module,0xae,?,?,?,?,?,?
init_module,0xaf,void *umod,unsigned long len,char *uargs,-,-,-
delete_module,0xb0,char *name_user,unsigned int flags,-,-,-,-
get_kernel_syms,0xb1,?,?,?,?,?,?
query_module,0xb2,?,?,?,?,?,?
quotactl,0xb3,unsigned int cmd,char *special,qid_t id,void *addr,-,-
nfsservctl,0xb4,?,?,?,?,?,?
getpmsg,0xb5,?,?,?,?,?,?
putpmsg,0xb6,?,?,?,?,?,?
afs_syscall,0xb7,?,?,?,?,?,?
tuxcall,0xb8,?,?,?,?,?,?
security,0xb9,?,?,?,?,?,?
gettid,0xba,-,-,-,-,-,-
readahead,0xbb,int fd,loff_t offset,size_t,-,-,-
setxattr,0xbc,char *path,char *name,const void *value,size_t size,int flags,-
lsetxattr,0xbd,char *path,char *name,const void *value,size_t size,int flags,-
fsetxattr,0xbe,int fd,char *name,const void *value,size_t size,int flags,-
getxattr,0xbf,char *path,char *name,void *value,size_t size,-,-
lgetxattr,0xc0,char *path,char *name,void *value,size_t size,-,-
fgetxattr,0xc1,int fd,char *name,void *value,size_t size,-,-
listxattr,0xc2,char *path,char *list,size_t size,-,-,-
llistxattr,0xc3,char *path,char *list,size_t size,-,-,-
flistxattr,0xc4,int fd,char *list,size_t size,-,-,-
removexattr,0xc5,char *path,char *name,-,-,-,-
lremovexattr,0xc6,char *path,char *name,-,-,-,-
fremovexattr,0xc7,int fd,char *name,-,-,-,-
tkill,0xc8,pid_t pid,int sig,-,-,-,-
time,0xc9,time_t *tloc,-,-,-,-,-
futex,0xca,u32 *uaddr,int op,u32 val,struct __kernel_timespec *utime,u32 *uaddr2,u32 val3
sched_setaffinity,0xcb,pid_t pid,unsigned int len,unsigned long *user_mask_ptr,-,-,-
sched_getaffinity,0xcc,pid_t pid,unsigned int len,unsigned long *user_mask_ptr,-,-,-
set_thread_area,0xcd,?,?,?,?,?,?
io_setup,0xce,unsigned nr_reqs,aio_context_t *ctx,-,-,-,-
io_destroy,0xcf,aio_context_t ctx,-,-,-,-,-
io_getevents,0xd0,aio_context_t ctx_id,long min_nr,long nr,struct io_event *events,struct __kernel_timespec *timeout,-
io_submit,0xd1,aio_context_t,long,struct iocb * *,-,-,-
io_cancel,0xd2,aio_context_t ctx_id,struct iocb *iocb,struct io_event *result,-,-,-
get_thread_area,0xd3,?,?,?,?,?,?
lookup_dcookie,0xd4,u64 cookie64,char *,size_t,-,-,-
epoll_create,0xd5,int size,-,-,-,-,-
epoll_ctl_old,0xd6,?,?,?,?,?,?
epoll_wait_old,0xd7,?,?,?,?,?,?
remap_file_pages,0xd8,unsigned long start,unsigned long size,unsigned long prot,unsigned long pgoff,unsigned long flags,-
getdents64,0xd9,unsigned int fd,struct linux_dirent64 *dirent,unsigned int count,-,-,-
set_tid_address,0xda,int *tidptr,-,-,-,-,-
restart_syscall,0xdb,-,-,-,-,-,-
semtimedop,0xdc,int semid,struct sembuf *sops,unsigned nsops,const struct __kernel_timespec *timeout,-,-
fadvise64,0xdd,int fd,loff_t offset,size_t,int advice,-,-
timer_create,0xde,clockid_t which_clock,struct sigevent *timer_event_spec,timer_t * created_timer_id,-,-,-
timer_settime,0xdf,timer_t timer_id,int flags,const struct __kernel_itimerspec *new_setting,struct __kernel_itimerspec *old_setting,-,-
timer_gettime,0xe0,timer_t timer_id,struct __kernel_itimerspec *setting,-,-,-,-
timer_getoverrun,0xe1,timer_t timer_id,-,-,-,-,-
timer_delete,0xe2,timer_t timer_id,-,-,-,-,-
clock_settime,0xe3,clockid_t which_clock,const struct __kernel_timespec *tp,-,-,-,-
clock_gettime,0xe4,clockid_t which_clock,struct __kernel_timespec *tp,-,-,-,-
clock_getres,0xe5,clockid_t which_clock,struct __kernel_timespec *tp,-,-,-,-
clock_nanosleep,0xe6,clockid_t which_clock,int flags,const struct __kernel_timespec *rqtp,struct __kernel_timespec *rmtp,-,-
exit_group,0xe7,int error_code,-,-,-,-,-
epoll_wait,0xe8,int epfd,struct epoll_event *events,int maxevents,int timeout,-,-
epoll_ctl,0xe9,int epfd,int op,int fd,struct epoll_event *event,-,-
tgkill,0xea,pid_t tgid,pid_t pid,int sig,-,-,-
utimes,0xeb,char *filename,struct timeval *utimes,-,-,-,-
vserver,0xec,?,?,?,?,?,?
mbind,0xed,unsigned long start,unsigned long len,unsigned long mode,const unsigned long *nmask,unsigned long maxnode,unsigned flags
set_mempolicy,0xee,int mode,const unsigned long *nmask,unsigned long maxnode,-,-,-
get_mempolicy,0xef,int *policy,unsigned long *nmask,unsigned long maxnode,unsigned long addr,unsigned long flags,-
mq_open,0xf0,char *name,int oflag,umode_t mode,struct mq_attr *attr,-,-
mq_unlink,0xf1,char *name,-,-,-,-,-
mq_timedsend,0xf2,mqd_t mqdes,char *msg_ptr,size_t msg_len,unsigned int msg_prio,const struct __kernel_timespec *abs_timeout,-
mq_timedreceive,0xf3,mqd_t mqdes,char *msg_ptr,size_t msg_len,unsigned int *msg_prio,const struct __kernel_timespec *abs_timeout,-
mq_notify,0xf4,mqd_t mqdes,const struct sigevent *notification,-,-,-,-
mq_getsetattr,0xf5,mqd_t mqdes,const struct mq_attr *mqstat,struct mq_attr *omqstat,-,-,-
kexec_load,0xf6,unsigned long entry,unsigned long nr_segments,struct kexec_segment *segments,unsigned long flags,-,-
waitid,0xf7,int which,pid_t pid,struct siginfo *infop,int options,struct rusage *ru,-
add_key,0xf8,char *_type,char *_description,const void *_payload,size_t plen,key_serial_t destringid,-
request_key,0xf9,char *_type,char *_description,char *_callout_info,key_serial_t destringid,-,-
keyctl,0xfa,int cmd,unsigned long arg2,unsigned long arg3,unsigned long arg4,unsigned long arg5,-
ioprio_set,0xfb,int which,int who,int ioprio,-,-,-
ioprio_get,0xfc,int which,int who,-,-,-,-
inotify_init,0xfd,-,-,-,-,-,-
inotify_add_watch,0xfe,int fd,char *path,u32 mask,-,-,-
inotify_rm_watch,0xff,int fd,__s32 wd,-,-,-,-
migrate_pages,0x100,pid_t pid,unsigned long maxnode,const unsigned long *from,const unsigned long *to,-,-
openat,0x101,int dfd,char *filename,int flags,umode_t mode,-,-
mkdirat,0x102,int dfd,char * pathname,umode_t mode,-,-,-
mknodat,0x103,int dfd,char * filename,umode_t mode,unsigned dev,-,-
fchownat,0x104,int dfd,char *filename,uid_t user,gid_t group,int flag,-
futimesat,0x105,int dfd,char *filename,struct timeval *utimes,-,-,-
newfstatat,0x106,int dfd,char *filename,struct stat *statbuf,int flag,-,-
unlinkat,0x107,int dfd,char * pathname,int flag,-,-,-
renameat,0x108,int olddfd,char * oldname,int newdfd,char * newname,-,-
linkat,0x109,int olddfd,char *oldname,int newdfd,char *newname,int flags,-
symlinkat,0x10a,char * oldname,int newdfd,char * newname,-,-,-
readlinkat,0x10b,int dfd,char *path,char *,int bufsiz,-,-
fchmodat,0x10c,int dfd,char * filename,umode_t mode,-,-,-
faccessat,0x10d,int dfd,char *filename,int mode,-,-,-
pselect6,0x10e,int,fd_set *,fd_set *,fd_set *,struct __kernel_timespec *,void *
ppoll,0x10f,struct pollfd *,unsigned int,struct __kernel_timespec *,const sigset_t *,size_t,-
unshare,0x110,unsigned long unshare_flags,-,-,-,-,-
set_robust_list,0x111,struct robust_list_head *head,size_t,-,-,-,-
get_robust_list,0x112,int pid,struct robust_list_head * *head_ptr,size_t *len_ptr,-,-,-
splice,0x113,int fd_in,loff_t *off_in,int fd_out,loff_t *off_out,size_t,unsigned int flags
tee,0x114,int fdin,int fdout,size_t,unsigned int flags,-,-
sync_file_range,0x115,int fd,loff_t offset,loff_t nbytes,unsigned int flags,-,-
vmsplice,0x116,int fd,const struct iovec *iov,unsigned long nr_segs,unsigned int flags,-,-
move_pages,0x117,pid_t pid,unsigned long nr_pages,const void * *pages,const int *nodes,int *status,int flags
utimensat,0x118,int dfd,char *filename,struct __kernel_timespec *utimes,int flags,-,-
epoll_pwait,0x119,int epfd,struct epoll_event *events,int maxevents,int timeout,const sigset_t *sigmask,size_t sigsetsize
signalfd,0x11a,int ufd,sigset_t *user_mask,size_t sizemask,-,-,-
timerfd_create,0x11b,int clockid,int flags,-,-,-,-
eventfd,0x11c,unsigned int count,-,-,-,-,-
fallocate,0x11d,int fd,int mode,loff_t offset,loff_t len,-,-
timerfd_settime,0x11e,int ufd,int flags,const struct __kernel_itimerspec *utmr,struct __kernel_itimerspec *otmr,-,-
timerfd_gettime,0x11f,int ufd,struct __kernel_itimerspec *otmr,-,-,-,-
accept4,0x120,int,struct sockaddr *,int *,int,-,-
signalfd4,0x121,int ufd,sigset_t *user_mask,size_t sizemask,int flags,-,-
eventfd2,0x122,unsigned int count,int flags,-,-,-,-
epoll_create1,0x123,int flags,-,-,-,-,-
dup3,0x124,unsigned int oldfd,unsigned int newfd,int flags,-,-,-
pipe2,0x125,int *fildes,int flags,-,-,-,-
inotify_init1,0x126,int flags,-,-,-,-,-
preadv,0x127,unsigned long fd,const struct iovec *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,-
pwritev,0x128,unsigned long fd,const struct iovec *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,-
rt_tgsigqueueinfo,0x129,pid_t tgid,pid_t pid,int sig,siginfo_t *uinfo,-,-
perf_event_open,0x12a,struct perf_event_attr *attr_uptr,pid_t pid,int cpu,int group_fd,unsigned long flags,-
recvmmsg,0x12b,int fd,struct mmsghdr *msg,unsigned int vlen,unsigned flags,struct __kernel_timespec *timeout,-
fanotify_init,0x12c,unsigned int flags,unsigned int event_f_flags,-,-,-,-
fanotify_mark,0x12d,int fanotify_fd,unsigned int flags,u64 mask,int fd,char *pathname,-
prlimit64,0x12e,pid_t pid,unsigned int resource,const struct rlimit64 *new_rlim,struct rlimit64 *old_rlim,-,-
name_to_handle_at,0x12f,int dfd,char *name,struct file_handle *handle,int *mnt_id,int flag,-
open_by_handle_at,0x130,int mountdirfd,struct file_handle *handle,int flags,-,-,-
clock_adjtime,0x131,clockid_t which_clock,struct __kernel_timex *tx,-,-,-,-
syncfs,0x132,int fd,-,-,-,-,-
sendmmsg,0x133,int fd,struct mmsghdr *msg,unsigned int vlen,unsigned flags,-,-
setns,0x134,int fd,int nstype,-,-,-,-
getcpu,0x135,unsigned *cpu,unsigned *node,struct getcpu_cache *cache,-,-,-
process_vm_readv,0x136,pid_t pid,const struct iovec *lvec,unsigned long liovcnt,const struct iovec *rvec,unsigned long riovcnt,unsigned long flags
process_vm_writev,0x137,pid_t pid,const struct iovec *lvec,unsigned long liovcnt,const struct iovec *rvec,unsigned long riovcnt,unsigned long flags
kcmp,0x138,pid_t pid1,pid_t pid2,int type,unsigned long idx1,unsigned long idx2,-
finit_module,0x139,int fd,char *uargs,int flags,-,-,-
sched_setattr,0x13a,pid_t pid,struct sched_attr *attr,unsigned int flags,-,-,-
sched_getattr,0x13b,pid_t pid,struct sched_attr *attr,unsigned int size,unsigned int flags,-,-
renameat2,0x13c,int olddfd,char *oldname,int newdfd,char *newname,unsigned int flags,-
seccomp,0x13d,unsigned int op,unsigned int flags,void *uargs,-,-,-
getrandom,0x13e,char *,size_t,unsigned int flags,-,-,-
memfd_create,0x13f,char *uname_ptr,unsigned int flags,-,-,-,-
kexec_file_load,0x140,int kernel_fd,int initrd_fd,unsigned long cmdline_len,char *cmdline_ptr,unsigned long flags,-
bpf,0x141,int cmd,union bpf_attr *attr,unsigned int size,-,-,-
execveat,0x142,int dfd,char *filename,char *const *argv,char *const *envp,int flags,-
userfaultfd,0x143,int flags,-,-,-,-,-
membarrier,0x144,int cmd,int flags,-,-,-,-
mlock2,0x145,unsigned long start,size_t,int flags,-,-,-
copy_file_range,0x146,int fd_in,loff_t *off_in,int fd_out,loff_t *off_out,size_t,unsigned int flags
preadv2,0x147,unsigned long fd,const struct iovec *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,rwf_t flags
pwritev2,0x148,unsigned long fd,const struct iovec *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,rwf_t flags
pkey_mprotect,0x149,unsigned long start,size_t,unsigned long prot,int pkey,-,-
pkey_alloc,0x14a,unsigned long flags,unsigned long init_val,-,-,-,-
pkey_free,0x14b,int pkey,-,-,-,-,-
statx,0x14c,int dfd,char *path,unsigned flags,unsigned mask,struct statx *buffer,-